OrderID,Date,Region,Product,Category,Quantity,UnitPrice,CustomerID,SalesRep,PaymentMethod,TotalAmount,Outlier_mask,Month,Year,HighValue
1305,2024-07-13,North,Phone,Electronics,14,599,5060,Diana,Net Banking,8386,False,7,2024,False
1500,2024-10-06,Central,Phone,Electronics,15,49,5199,Bob,Credit Card,735,False,10,2024,False
1442,2024-11-13,West,Laptop,Accessories,2,1299,5008,Charlie,Cash,2598,False,11,2024,False
1154,2024-11-22,North,Laptop,Accessories,10,19,5198,Eve,UPI,190,False,11,2024,False
1414,2024-02-22,North,Keyboard,Electronics,4,299,5063,Alice,Net Banking,1196,False,2,2024,False
1132,2024-12-24,North,Phone,Accessories,15,49,5178,Alice,UPI,735,False,12,2024,False
1205,2024-07-05,North,Charger,Electronics,18,1299,5026,Charlie,UPI,23382,False,7,2024,True
1416,2024-04-17,central,Mouse,Accessories,5,899,5124,Eve,Debit Card,4495,False,4,2024,False
1326,2024-05-26,East,Mouse,Electronics,15,19,5082,Diana,Credit Card,285,False,5,2024,False
1248,2024-11-03,East,Keyboard,Accessories,9,899,5131,Bob,UPI,8091,False,11,2024,False
1466,2024-05-23,Central,Laptop,Electronics,5,1299,5101,Alice,Debit Card,6495,False,5,2024,False
1354,2024-01-18,East,Mouse,Accessories,15,79,5001,Charlie,Credit Card,1185,False,1,2024,False
1290,2024-06-01,South,Tablet,Accessories,16,1299,5025,Charlie,Debit Card,20784,False,6,2024,True
1085,2024-12-03,West,Charger,Accessories,19,599,5044,Diana,Credit Card,11381,False,12,2024,False
1011,2024-11-26,North,Keyboard,Electronics,17,49,5078,Bob,Debit Card,833,False,11,2024,False
1325,2024-10-30,East,Phone,Accessories,14,599,5175,Eve,Cash,8386,False,10,2024,False
1079,2024-09-08,Central,Tablet,Accessories,18,899,5138,Diana,Net Banking,16182,False,9,2024,False
1031,2024-02-28,North,Headphones,Electronics,7,299,5147,Eve,UPI,2093,False,2,2024,False
1185,2024-06-13,North,Mouse,Electronics,5,1299,5032,Alice,UPI,6495,False,6,2024,False
1196,2024-04-22,South,Headphones,Accessories,18,299,5079,Alice,Debit Card,5382,False,4,2024,False
1223,2024-07-21,East,Keyboard,Electronics,15,79,5147,Frank,Cash,1185,False,7,2024,False
1210,2024-02-23,Central,Tablet,Electronics,8,599,5131,Alice,Credit Card,4792,False,2,2024,False
1282,2024-03-15,Central,Keyboard,Electronics,14,1299,5162,Charlie,Credit Card,18186,False,3,2024,True
1209,2024-08-07,West,Tablet,Accessories,1,79,5153,Alice,Credit Card,79,False,8,2024,False
1125,2024-08-14,Central,Mouse,Electronics,14,49,5089,Eve,Cash,686,False,8,2024,False
1251,2024-12-03,Central,Keyboard,Electronics,2,19,5027,Charlie,Cash,38,False,12,2024,False
1077,2024-09-27,West,Keyboard,Electronics,18,899,5014,Eve,UPI,16182,False,9,2024,False
1383,2024-02-05,North,Keyboard,Accessories,1,299,5098,Frank,Cash,299,False,2,2024,False
1343,2024-06-29,West,Tablet,Accessories,7,19,5125,Bob,Debit Card,133,False,6,2024,False
1324,2024-11-12,East,Laptop,Accessories,16,79,5051,Frank,Cash,1264,False,11,2024,False
1245,2024-05-27,North,Headphones,Electronics,13,79,5130,Bob,Debit Card,1027,False,5,2024,False
1332,2024-06-20,East,Tablet,Electronics,18,49,5128,Eve,UPI,882,False,6,2024,False
1141,2024-08-18,South,Keyboard,Accessories,5,49,5061,Frank,Debit Card,245,False,8,2024,False
1010,2024-08-02,Unknown,Keyboard,Accessories,9,49,5047,Bob,Net Banking,441,False,8,2024,False
1073,2024-07-20,Central,Headphones,Accessories,13,49,5086,Charlie,Debit Card,637,False,7,2024,False
1401,2024-05-04,West,Tablet,Electronics,7,1299,5154,Alice,Debit Card,9093,False,5,2024,False
1488,2024-11-20,North,Phone,Electronics,1,299,5026,Diana,Credit Card,299,False,11,2024,False
1226,2024-09-11,North,Mouse,Accessories,12,299,5011,Charlie,Unknown,3588,False,9,2024,False
1074,2024-09-26,East,Charger,Accessories,8,599,5135,Charlie,Cash,4792,False,9,2024,False
1178,2024-04-25,North,Mouse,Accessories,14,599,5059,Charlie,UPI,8386,False,4,2024,False
1404,2024-02-27,North,Charger,Electronics,11,599,5176,Charlie,Net Banking,6589,False,2,2024,False
1069,2024-07-09,North,Charger,Accessories,19,79,5152,Alice,Net Banking,1501,False,7,2024,False
1156,2024-08-30,Central,Keyboard,Accessories,12,599,5065,Frank,UPI,7188,False,8,2024,False
1056,2024-12-05,East,Tablet,Accessories,16,79,5070,Bob,Cash,1264,False,12,2024,False
1406,2024-10-31,West,Tablet,Accessories,14,49,5110,Bob,Net Banking,686,False,10,2024,False
1299,2024-06-09,East,Keyboard,Accessories,12,299,5133,Charlie,UPI,3588,False,6,2024,False
1078,2024-08-02,West,Tablet,Electronics,6,79,5120,Alice,Credit Card,474,False,8,2024,False
1469,2024-10-11,North,Keyboard,Electronics,1,79,5161,Eve,Debit Card,79,False,10,2024,False
1318,2024-01-27,East,Headphones,Accessories,4,49,5190,Frank,Net Banking,196,False,1,2024,False
1476,2024-08-05,South,Charger,Accessories,12,599,5045,Frank,Net Banking,7188,False,8,2024,False
1091,2024-02-10,West,Mouse,Electronics,17,79,5082,Bob,Net Banking,1343,False,2,2024,False
1239,2024-12-14,South,Tablet,Electronics,18,49,5176,Charlie,Cash,882,False,12,2024,False
1486,2024-01-10,Central,Keyboard,Accessories,2,299,5105,Frank,Net Banking,598,False,1,2024,False
